,ASIN,MANUFACTURER,PRODUCT_DESCRIPTION,DESCRIPTION
0,B07CJCGM1M,RetailEZ Pvt Ltd,NA,"Laptop Compatibility: No, Strap Type: Adjustable, Trolley Support: No. With Rain Cover : No | Outer Material: Polyester, Color: Black | Water Resistance: Water resistant , not Waterproof | Capacity: 32 liters; Dimensions: 31.5 x 22 x 49.5 Centimeters | Number of Wheels: 0, Number of compartments: 3 | Warranty type: Manufacturer; 1 year International warranty valid for 1 year from the original date of | Mesh pockets on both sides to accommodate your sipper or bottle and umbrella | Mesh Padding on back & shoulder strap to provide comfort & better back support | Loading EDP related metadata"
1,B084JGJ8PF,Appario Retail Private Ltd,"[' With a slim, sleek and compact design you will love how this backpack can look small even with a spacious storage! ', ' Take your gadgets with you anywhere with this backpack, it has got allotted storage space that fits a laptop of upto 15.6 inches. ', ' Designed with great quality materials that are waterproof, tough and durable, it is also lightweight and easy to maintain. ', ' The back straps are padded to give the user maximum support and it made with anti-sweat fabric, giving you the comfort throughout the day. ', ' Featuring 2 compartments, the main compartment and a front compartment to store smaller objects/pens/thin notebooks etc. It also includes a laptop sleeve with a Velcro strap for safety. ', ' It won’t feel uneasy to carry heavy things for a longer time with this bag as it has a cushioned back support that distributes weight evenly between your shoulders and back. ', ' Be it those stormy rainy season, scorching heat, or freezing winters, this bag can endure as it is crafted, designed and made with quality and tough materials. ']","30L Capacity: The Backpack has a padded laptop compartment that can fit 15.6 inch laptop. It can also accommodate essentials such as a Lunch box, Charger, Tablet, Books, Power Bank, Wallet, and Sunglass. | Multi-Level Organizer: The backpack has a front zipper pocket for the ID card, Sanitizer, House keys, Pen. First compartment with pockets for the earphones, pens, notebook, Fitness Band. Spacious second compartment for all your electronics. | Ergonomic Design: Thick cushioning around the shoulders and on the back panel makes the backpack super light and comfortable on the move. “S” Shaped shoulder strap distribute the weight of the backpack across your upper body. | Made In India: Wesley Business Casual Backpack is fully manufactured in India and pass through stringent quality tests and checks | 1 Year Warranty: The Wesley Business casual backpack comes with 1 year of warranty | Water Resistant Material: Advanced IPX4 coating on the material ensures resistance to water entering from any direction. | Loading EDP related metadata | See more product details"
2,B08Z1HHHTD,RetailEZ Pvt Ltd,"Ideal for a college student who does not carry a lot of books or laptop to college. Very stylish, slim and feature loaded Backpack","Combination of functional & safety features in stylish design, Soft mesh back with 8 mm foam padded 2 Main Compartment, 1 Slip In Pocket inside the bag, Printed Design, Mesh bottle holder on the side, | Loading EDP related metadata"
3,B09TPX22NF,Appario Retail Private Ltd,"[' Light weight and spacious laptop backpack with 2 compartments and 1 front easy-access pocket. One compartment is for carrying laptop inside with padding for safety and space for laptop accessories like charger, etc. Other compartment has organiser for pens, visiting cards, etc along with space for carrying papers, files, etc. It has provision for holding bottles on both sides and has padded shoulder straps for your comfort. ']",Material: Water Resistant Light-Weight Polyester | Compartments: 2 with padding; Laptop Size: 15.6 inch and below | Dimensions: LxWxH - 12.5 x 7.5 x 19 inches | Reflector Logo / Adjustable Padded Shoulder Straps / 2 Bottle holders | Closure Type: Zipper | Loading EDP related metadata
4,B07QN4KXWG,Appario Retail Private Ltd,NA,"Innovative Design: AirCase Laptop Backpack is made of Premium Vegan Leather for your 15.6 Inch Laptop. This Laptop Backpack has 2 Front Pocket and 2 Main Compartment for Laptop, Tablet and other Main compartment for wallets dairy, clothes, etc. There is two way Cortical Tail Zipper with leather pull tail, Fashionable and Novel, keeping up with the current trend. | Large Storage: There is 2 Main Compartment One for 15.6 inch Laptop, Tablet with a secure Velcro closure and other for main compartment for your other belonging like Cloth, Wallet, Book, Diary, etc. There is also 2 front zipper pocket for Mobile, Charger, Power Adapter, Cable, Power Bank, Keys etc.convenient to carry at school college office travelling for students boys girls | Light weight & Durable: It is made of Premium Vegan Leather for 15.6 inch laptop. Ruggedized water-resistant base helps to protect from the elements. Water Resistant Base which protect your belonging from getting wet. waterproof latest smart stylish spacious rucksack luggage tourist travel bagpack. | Shoulder Straps: Breathable Mesh Padding at back which is design for back relief and shoulder straps for extra comfort with adjustable side straps for a better fit. | Specifications:- Work with -15.6"" Laptops and Under, CAPACITY- 22L, DIMENSIONS – 46-cm X 29-cm X 19-cm, WEIGHT - 0.58 kg, WARRANTY – 1 Year under Manufacturing Defect Only. | Loading EDP related metadata"
5,B088XB5XY8,Appario Retail Private Ltd,NA,"Made of multi-coated 600D polyester Material ; Water Repellent | Dimension: 26cm x 38cm x 14cm (LxWxH); Weight : 200 grams; Capacity: 12liters | Small Size backpack; Laptop Compatibility: No | This backpack comes with 2 zipper pockets that can house a notebook, gym gear, travel essentials and more | With contra zippers and adjustable straps this light weight backpack is the ideal companion while at the airport or hitting the gym or exploring new city or using it as a carrier for books | 6 months limited warranty | Loading EDP related metadata | See more product details"
6,B09B26VHXV,RetailEZ Pvt Ltd,NA,"HIGH QUALITY FABRIC: Our lightweight yet durable bags are made of 100% polyester and water resistant fabric. This casual backpack can be by boys and girls for school, college, coaching, tution, or everyday outings. | FRONT POCKET: Our trendy unisex bag pack has a front storage pocket that keeps small items neatly organized and easy to access | MESH POCKET: Our fancy and stylish backpacks have mesh pockets on both sides to accommodate your water bottle and umbrella | COMFORT: Our 26 liter bag has mesh padding on back to help carry heavy items. It also provides superior comfort with padded adjustable shoulder straps | WARRANTY: All of our bags come with 1-year International Warranty against manufacturing defects | Loading EDP related metadata"
7,B09B26MB5M,RetailEZ Pvt Ltd,"Safari Spartan is a 21 litres lightweight backpack that would be your perfect daily companion. It is perfect for carrying all your essentials when you are ready to go! Made of high grade water resistant polyester fabric, makes this backpack durable and a long lasting accessory. Safari Spartan also comes with a quick access front pocket and side mesh pockets to keep your essentials organized.",Lightweight yet durable backpack/daypack for school use or everyday outings | Front storage pocket keeps smaller items neatly organized and easy to access | Mesh pockets on both sides to accommodate your water bottle and umbrella | Mesh Padding on back & shoulder strap to provide comfort & better back support; 1-year International Warranty against manufacturing defects | Lining Description: Polyester; Closure Type: Zipper; Age Range Description: Adult | Loading EDP related metadata
8,B084ZHP97M,Dein Kleider,"Spacious and convenient, ideal for use as Messenger Bag.perfect product from DEIN KLEIDER for storing in your Objects to take with you for extra storage.","ERGONOMIC DESIGN: This ergonomic bag features zippered security pockets in the front, back and main compartment. The front pockets can be used to hold personal items like identification cards, keys and more while the extra pocket located in the back can be used for the storage of sleek items like mobile devices. The main storage pocket also has enough room to hold your gadgets, small water bottle cables, chargers etc. This bag can fit tablets and devices with screen sizes of up to 10.5. | WATER, DIRT & SLASH RESISTANT: This cross body bag by Dein Kleider is ideal for people who are adventurous and always on the go. Its padded storage is resistant to water, dirt and even a slash by sharp objects, so you dont have to worry about anything. This bag is durable and heavy duty, ensuring that your gadgets and valuables are safely stored. | CRAFTED IN INDIA: Dein Kleider cross body sling is crafted with perfection by professional Indian artisans in an elegant style that makes your presence truly class apart. Its an ideal companion for a comfortable all day carry to school/college, malls, morning walk, office and meetings. It can also be easily used as travel accessory for a train or bus journey. | Outer Material Type: Nylon | Loading EDP related metadata"
9,B09VCLZ3K4,Half_Moon,"This backpack is lightweight water-resistant, capacity of approx 37 Ltr, has a soft and ventilated back panel, and is perfect for carrying all your necessities. Adjustable and breathable padded shoulder strap to meet different requirements for both men and women; made from highly rip and water-resistant polyester fabric, provide strengthen and long-lasting performance; roomy enough for your traveling requirements also having a Rain cover.","SPACIOUS AND LIGHTWEIGHT: Light weight and spacious laptop backpack with 3 compartments. One compartment is for carrying laptop inside (Upto 17 inches), with padding for safety, and space for laptop accessories like charger, etc. Second large compartment for books, files and all your day to day essentials. And third compartment is for your extra stuff. It has provision for holding bottles on both sides and has padded shoulder straps for your comfort | COMFORT WITH QUALITY: This Backpack has Wide, Padded and Adjustable shoulder straps and Padded Back for comfort in carrying heavy items. Stitched properly and Bartacks on every pressure point for extra durability. Made with strong yet light weight polyester fabric with heavy zippers. It also comes with a Rain cover so that you can travel during rainy season without any problem. This backpack be used by everyone be it men? , women? , boys , girls. | SMART & TRENDY LOOKS: This Large rucksack bag is smart, trendy and stylish in looks. The multipurpose rucksack bacpack looks smart, athletic and venturesome and the blend of grey and red makes it appear exquisite. Your hiking trips, mountaineering experience cannot get completed without this amazing trekking backpack. | ENDURING & LONG LASTING: This trekking backpack bag is made up of highly durable material, which makes it suitable for all weather conditions including heavy rains and extreme scorching heat. It will not only keep the inside stuff safe but will also resist damage to itself.;Style Name: Casual; Pocket Description: Utility Pocket; Compartment Description: Up To 17 Inches; Age Range Description: Adult;Pattern Name: Solid | OTHER FEATURES: Rain Cover, 17 inch Laptop compartment, Internal Organiser(Small Pockets), Strong and durable zippers, Adjustable Shoulder Handles (Straps) , 2 Bottle/Umbrella holders , Padded Handle , Padded Laptop Compartment , Ergonomic Design, Reflector Logo, etc | Loading EDP related metadata"
